@@(#)$CDS: Archiver version 16.6-p001 (v16-6-112A) 9/10/2012
Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\_ku_v1_0, from library _ku_v1_0
Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\xl_xc7z045i900, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\led, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\is_is21es04gjcli_s, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\ttn_ox_xxxxx, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\will_esd5304d, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\xilinx_spiflash_8p, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\ti\ti_tps51200drc, from library ti

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\micron\mic_mt41kxxxmxhx, from library micron

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\mur_blm15, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\mar_88e1512, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\ttn_xx_xxxx, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\pu_h5120nl, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\skylab_skg09d, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\l_hq, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\c_all, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\mur_sf1186b_3, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\spx_sp3078een, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\spx_sp3232eey, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\spx_sp3077een, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\xilinx_xcku115_2flva1517i, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\au5325, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\adi_ltc6952, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\vco_cvco55cc_xxxx, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\dp_o11f_o11h, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\qorvo_rfsw1012, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\adi_ltc2601, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\adi_adclk914, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\sem_sc431cskqtrt, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\mc_tcm1_83x, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\adi_ad9689, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\adi_ad9739a, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\mc_tc1_33_75g2, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\mc_bfcg_xxxx_4pin, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\mc_hfcn_xxxx_4pin, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\mc_lfcg_xxxx, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\mc_dvga2_33a, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\esd_uni, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\standard\hole, from library standard

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\tyco_1410187_3, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\tyco_1_1469492_x, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\tyco_1410189_3, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\replicate, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\standard\pgnd_x, from library standard

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\standard\gnd_x, from library standard

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\standard\gnd, from library standard

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\standard\vcc, from library standard

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\standard\sfdk_page1_a3, from library standard

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\standard\sfdk_cover1_a3, from library standard

Completed archiving the design...
For more information, please look at the file D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\_ku_v1_0_archive\archiver.log
